Organization Name,Industries,Headquarters Location,Description,CB Rank (Company)
Green Check Verified,"Banking, Cannabis, Service Industry","North Haven, Connecticut, United States",Green Check Verified provides dispensaries with the tools they need to access local banking services and get back to business.,30597
Five9,"Call Center, Customer Service, Enterprise Software, SaaS, Sales","San Ramon, California, United States","Five9 is a cloud-based call center software company that specializes in sales, marketing, and customer service.",30598
EdGE,"Analytics, Artificial Intelligence, Computer, Consulting, Education, Human Resources, Information Technology, Professional Services, Recruiting, Software","Bangalore, Karnataka, India",EdGE provides nextGen technology solutions for workforce transformation powered by data science and artificial intelligence.,30599
Caliroots,"Fashion, Retail, Retail Technology","Stockholm, Stockholms Lan, Sweden",Caliroots is a streetwear fashion retail company with both retail stores and an online presence.,30600
atta,"Artificial Intelligence, Content, E-Commerce, Internet, Reservations, Social Media, Travel","Tokyo, Tokyo, Japan",Flight and accommodation metasearch that leverages big data and AI to predict future prices of flight tickets and accommodations,30601
Kinotek,"Education, Fitness, Health Care, Information Technology","Portland, Maine, United States",Kinotek is a digital health platform revolutionizing musculoskeletal treatment and care.,30602
The Riveter,"Communities, Coworking, Education, Wellness","Seattle, Washington, United States",The Riveter is a membership workspace and community platform for women and allies.,30603
Lilac Insights,"Consulting, Fitness, Genetics, Health Care, Wellness","Mumbai, Maharashtra, India",Lilac Insights is leading as a Genetic Health Assessment & Diagnostic Centre.,30604
Labrador Systems,"Artificial Intelligence, Information Technology, Product Design, Robotics, Software","Oak Park, California, United States",Labrador is a robotics company building a new generation of assistive robots to improve the quality of life for millions of people.,30605
VIKTOR,"Civil Engineering, Construction, Developer Platform, Developer Tools, Information Technology, PaaS, SaaS, Software","Rotterdam, Zuid-Holland, The Netherlands",VIKTOR operates a platform for developing applications that automate workflows.,30606
Forge.AI,"Artificial Intelligence, Information Technology, Machine Learning","Boston, Massachusetts, United States",Forge.AI develops AI systems intended to process unstructured information.,30607
Kidaptive,"Big Data, EdTech, Education, Personalization","Mountain View, California, United States",Kidaptive is a media and technology company creating entertaining and adaptive content that helps children learn.,30608
Chip City Cookies,"Food and Beverage, Food Processing, Retail","College Point, New York, United States",Chip City Cookies is a bakery which created a signature 5.5-ounce cookie that is served warm making it a chewy and gooey experience.,30609
UnifiedPost,"Information Technology, Internet, Payments","La Hulpe, Brabant Wallon, Belgium",UnifiedPost provides Solutions-as-a-Service to support its customers’ need to stay on top of market developments.,30610
AURA Network Systems,"Air Transportation, Data Center, Data Integration, Database","Mclean, Virginia, United States",Nationwide network utilizing licensed aviation spectrum to accelerate advanced autonomy in the National Airspace System,30611
Speakap,"Developer Platform, Enterprise Applications, Social, Social Media, Social Network","New York, New York, United States",Speakap is a secure and private platform that enables organisations of all sizes to reach and engage with their front-line employees,30612
Locix,"Analytics, Computer, Consumer Electronics, Information Technology, Sensor, Software","San Bruno, California, United States","Locix develops solutions to provide spatial and contextual awareness to buildings, homes, and connected devices.",30613
Collectabillia.com,"Celebrity, Commercial, E-Commerce, Sports","Bengaluru, Karnataka, India",Collectabillia.com is a celebrity commerce company offering a platform to fans to own memorabilia personally autographed by their icons.,30614
Mach9 Robotics,"Machine Learning, Robotics, Software","Pittsburgh, Pennsylvania, United States",Mach9 Robotics builds integrated hardware and software to make utility infrastructure inspection more accurate at a lower cost.,30615
WeatherXM,"Information Services, Information Technology","Athens, Attiki, Greece","WeatherXM is a community powered weather network, that rewards weather station owners and offers accurate weather services.",30616
Super,"Property Management, Real Estate, SaaS, Software","Brooklyn, New York, United States",Super is building the operating system for buildings.,30617
Plutoshift,Artificial Intelligence,"Palo Alto, California, United States",Plutoshift is the Operational Data Platform for Modern Industry,30618
Chaitin Tech,"Cyber Security, Network Security, Security","Beijing, Beijing, China",Chaitin Tech is a world leading and technology driven cyber security solution provider.,30619
SustainKart,"E-Commerce, Marketplace, Retail, Sustainability","Hyderabad, Andhra Pradesh, India",SustainKart is an e-commerce marketplace exclusively for sustainable products.,30620
Demand Driven Technologies,"Computer, Software, Supply Chain Management","Atlanta, Georgia, United States","Demand Driven Technologies provides Replenishment+®, the first and most widely deployed DDMRP compliant supply chain software solution.",30621
BioFluidica,"Biotechnology, Health Care, Health Diagnostics","San Diego, California, United States",BioFluidica is a biotechnology company that has developed a diagnostic platform.,30622
Colliers,"Commercial Real Estate, Property Management, Real Estate","Toronto, Ontario, Canada",Colliers International operates as a global real estate specialist.,30623
Soomla,"Ad Network, Advertising, Analytics, Big Data, Mobile, Open Source, Predictive Analytics","New York, New York, United States",Soomla provides publishers with advertising insights in applications to lead the sphere of the measurement of monetization there.,30624
MonetizeNow,"Billing, SaaS, Software","Santa Clara, California, United States",World's First Integrated Quoting & Billing Platform built for the Modern SaaS Enterprise,30625
Wireless Infrastructure Group,Infrastructure,"Bellshill, North Lanarkshire, United Kingdom",Wireless Infrastructure Group is an independent infrastructure company.,30626
Inagora,"E-Commerce, E-Commerce Platforms, Fashion, Internet","Tokyo, Tokyo, Japan","Inagora constructed and operates the Chinese Beijing cross-border e-commerce platform ""Wando Platform.""",30627
Tellurian,"Energy, Oil and Gas, Retail","Houston, Texas, United States",Tellurian is a builder of  natural gas business.,30628
vTv Therapeutics,"Biotechnology, Health Care, Innovation Management, Pharmaceutical","High Point, North Carolina, United States","vTv Therapeutics is a pharmaceutical company, focuses on the discovery and development of human therapeutics to fill unmet medical needs.",30629
Lucid Sight,"Blockchain, Computer, Cryptocurrency, Ethereum, Product Design, Software, Video Games, Virtual Reality","Los Angeles, California, United States","Lucid Sight is a computer software company that specializes in blockchain, augmented reality, and virtual reality.",30630
Nostromo,"Energy, Energy Storage, Power Grid","Shedema, HaMerkaz, Israel",Nostromo Energy designed a water-based energy storage system that is challenging the current BTM energy storage landscape.,30631
Marlin,"Blockchain, Internet, Social Media","Singapore, Central Region, Singapore",Marlin is a layer-0 scaling solution for public blockchains.,30632
Molinos Río de la Plata,"E-Commerce, Internet, Internet of Things, Social Media","Buenos Aires, Distrito Federal, Argentina","Molinos Río de La Plata S.A.,es una de las empresas líderes de la industria alimentaria, con llegada a más de 50 países en todo el mundo.",30633
Sieu Viet Group,"Human Resources, Internet, Recruiting, Staffing Agency","Ho Chi Minh City, NA - Vietnam, Vietnam",Sieu Viet is an online recruitment firm.,30634
Ruroc,"Shopping, Sports","Gloucester, Gloucestershire, United Kingdom",Trailblazing action sports protection brand based in Gloucester.,30635
88academics,"E-Learning, Education","New Delhi, Delhi, India",88academics is an online education provider.,30636
Novoic,"Artificial Intelligence, Biotechnology, Health Care, Machine Learning, Medical Device","London, England, United Kingdom",Novoic is a digital biotech company that develops AI-based speech analysis.,30637
DAtAnchor,"Cloud Data Services, Cyber Security, Data Integration, Information Technology, SaaS, Software","Columbus, Ohio, United States","Anchor is a simple, low-cost way to bake protection into files and ensure your sensitive information is never accessible, without consent.",30638
SeeChange,"Artificial Intelligence, Computer Vision, Machine Learning, Software, Video","Manchester, Manchester, United Kingdom",SeeChange is an AI software company and leader in real-time visual intelligence solutions.,30639
NGL Energy Partners,"Energy, Logistics, Oil and Gas","Tulsa, Oklahoma, United States",We are a publicly traded Master Limited Partnership listed under the ticker symbol “NGL” on the New York Stock Exchange.,30640
Sightly,"Advertising, Digital Marketing, Digital Media, Marketing, Mobile Advertising, Personalization, Video, Video Advertising","New York, New York, United States","Sightly is the leader in real-time marketing and intelligence, as driven by each brand's unique perspective and customer sentiments",30641
Legatics,"B2B, Legal, Software","London, England, United Kingdom",Legatics is an end-to-end deal platform focused on efficiency and client experience.,30642
ICS Career GPS,"Career Planning, Education, Mobile Apps","Lucknow, Uttar Pradesh, India",ICS Career GPS is a mobile app which is making online career guidance accessible and affordable for students and young professionals.,30643
Ulysse,"Air Transportation, Internet, Ticketing, Travel","Paris, Ile-de-France, France",Ulysse is the best way to book your air travel.,30644
iExec,"Blockchain, Cloud Computing, Software","Lyon, Rhone-Alpes, France",iExec provides blockchain based decentralized cloud computing platform.,30645
Fero.Ai,"Artificial Intelligence, Freight Service, Information Technology, Last Mile Transportation, Logistics, Software, Supply Chain Management, Transportation","Dubai, Dubai, United Arab Emirates",TiA by Fero is an Intelligent Virtual Assistant to automate supply chain transactions,30646
Zero Carbon Farms,"Agriculture, Hydroponics, Sustainability","London, England, United Kingdom",Shaping the future of the growing industry to accelerate the world’s transition to carbon negative farming.,30647
Articulate,"E-Learning, EdTech, Education, Software, Training","New York, New York, United States",Articulate develops a workplace training platform that provides online courses for management systems.,30648
Boortmalt,"Food and Beverage, Food Processing, Organic Food","Antwerp, Antwerpen, Belgium",Boortmalt produces and sells barley malts for breweries and distilleries around the world as well as for micro-breweries and distilleries.,30649
Evatran Group,"Automotive, Electric Vehicle, Energy, Manufacturing, Renewable Energy","Houston, Texas, United States",Evatran Group is a power transfer solutions firm that provides first hands-free proximity charging system for electric vehicles.,30650
OFFOR Health,"Child Care, Dental, Electronic Health Record (EHR), Health Care, Home Health Care","Columbus, Ohio, United States",OFFOR Health accelerate surgery backlogs through its on-site care delivery network and demand-matching technology.,30651
TransGrid,"Energy, Telecommunications, Virtual Reality","Sydney, New South Wales, Australia",TransGrid is the owner and operator of the high voltage electricity transmission network in the Australian state of New South Wales.,30652
FloQast,"Accounting, B2B, Enterprise Software, SaaS","Sherman Oaks, California, United States",FloQast is a provider of an accounting workflow automation platform.,30653
Bitfinex,"Bitcoin, Cryptocurrency, Financial Exchanges, FinTech, Trading Platform","Taipei, T'ai-pei, Taiwan",Bitfinex is a digital asset trading platform offering state-of-the-art services for digital currency traders and global liquidity providers.,30654
Strafe,"Apps, eSports, Media and Entertainment, News, Sports","Stockholm, Stockholms Lan, Sweden",Strafe is a lifestyle application for a global e-sport audience and fans.,30655
Wetaca,"Delivery Service, Food and Beverage, Food Delivery, Food Processing, Health Care","Madrid, Madrid, Spain","Wetaca helps people to eat well by selling and cooking enjoyable, healthy, and varied meals delivered once a week.",30656
Bandwango,"E-Commerce, Marketing, SaaS, Software, Ticketing, Travel","Salt Lake City, Utah, United States",Bandwango's SaaS solution connects communities to local businesses - enabling e-commerce and driving more customers,30657
TechMet,"Energy, Renewable Energy","Valletta, NA - Malta, Malta",TechMet - Securing the critical metals for the global technology revolution,30658
PIRS Capital,"Finance, Financial Services, FinTech","New York, New York, United States",PIRS Capital provides funding to small business across the nation and is committed to building long-term relationships with their clients.,30659
AposHealth,"Health Care, Hospital, Medical, Medical Device, Personal Health, Sports, Therapeutics, Wellness","New York, New York, United States","AposHealth is disrupting the musculoskeletal category with a non-invasive, at-home treatment helping people move and live better.",30660
F-Code,"Advertising, B2B, Digital Marketing, Marketing","Tokyo, Tokyo, Japan",F-Code is a marketing solution consultancy specialized in providing digital solutions with our self-developed marketing technology.,30661
Roq.ad,"Enterprise Software, SaaS","New York, New York, United States",We map the digital device world! Roq.ad’s technology creates an accurate and up to date “map” of (almost) all digital devices in a country.,30662
Natero,"Analytics, Artificial Intelligence, Big Data, Machine Learning, SaaS","Mountain View, California, United States","Natero harnesses your data to predict, analyze and drive customer behavior.",30663
Dizzion,"Cloud Computing, Information Technology, Mobile, Software, Web Hosting","Denver, Colorado, United States",Dizzion is a provider of cloud-delivered desktops that enable users to access their data and applications from any device.,30664
Hcash,"Blockchain, Cryptocurrency, Financial Services, Information Services, Information Technology","Melbourne, Victoria, Australia",platform is designed to be a side chain for both  block-based and blockless-based blockchains. ,30665
Guesty,"Information Technology, Property Management, Rental, Rental Property, Software","Tel Aviv, Tel Aviv, Israel",Guesty is a property management platform that provides end-to-end property management software for short-term rentals.,30666
Kamada,"Biopharma, Biotechnology, Health Care, Therapeutics","Ness Ziona, HaMerkaz, Israel","Kamada is a biopharmaceutical company engaged in developing, producing and marketing of specialty life-saving therapeutics, using a unique",30667
Hub,"Blockchain, Business Development, Business Information Systems, Communities, Computer, Local Business","Mountain View, California, United States",Hub is a blockchain based trust protocol that allows people to earn and carry their reputation data across Internet.,30668
Electrovaya,"Battery, Energy, Renewable Energy","Mississauga, Ontario, Canada",Electrovaya develops battery technologies designed for increased safety and longer life.,30669
Healios,"Health Care, Hospital, Medical","Southampton, Southampton, United Kingdom",The UK’s leading digital healthcare company .,30670
Cherry Street Energy,"Energy, Renewable Energy, Solar","Atlanta, Georgia, United States",Cherry Street Energy operates as a renewable energy company that helps transform the energy marketplace.,30671
Arthur Online,"Information Technology, Property Management, Real Estate, SaaS, Software","London, England, United Kingdom","Arthur simplifies property management, anywhere , anytime.",30672
Polymer Labs,"Blockchain, Cryptocurrency","Los Angeles, California, United States",Polymer Labs is an infrastructure provider focused on IBC protocols.,30673
HeadSpin,"Analytics, Animation, Application Performance Management, Artificial Intelligence, Digital Marketing, Graphic Design, Information Technology, Machine Learning, Virtual Reality, Web Development","Palo Alto, California, United States",HeadSpin is a developer of a digital experience intelligence platform used to provide flawless digital experiences.,30674
Magnitt,"Communities, Content Discovery, FinTech, Funding Platform","Dubai, Dubai, United Arab Emirates","Magnitt is a startup directory that connects investors, mentors, and emerging companies in the Middle East.",30675
PlanetIQ,Information Technology,"Golden, Colorado, United States",Unrivaled weather data to inform on-the-ground decision making.,30676
Kara Technologies,"Artificial Intelligence, Information Technology, Software","Auckland, Auckland, New Zealand",Content Accessibility for the Deaf using AI Sign Language Avatar,30677
Biograil,"Biotechnology, Manufacturing","Copenhagen, Hovedstaden, Denmark",Biograil is a biotech company manufacturing an oral device for delivery of biologics,30678
Fraxion,"Computer, Procurement, Software","Seattle, Washington, United States",Developers of procure-to-pay solutions for proactive spend management.,30679
Vention,"Artificial Intelligence, CAD, Hardware, Industrial Automation, Mechanical Engineering, Robotics","Montréal, Quebec, Canada",Vention is a digital manufacturing automation platform that helps companies automate their production floor.,30680
Skelter Labs,"Artificial Intelligence, Information Technology, Machine Learning, Natural Language Processing, Software, Virtual Assistant","Seoul, Seoul-t'ukpyolsi, South Korea",Skelter Labs is an artificial intelligence technology company developing innovative machine intelligence technology.,30681
Wisedocs,"Health Care, Medical, Software","Toronto, Ontario, Canada",Empowering businesses with medical insights by rethinking the way they manage medical assessments workflows.,30682
AdSwerve,"Information Services, Information Technology, Marketing","Denver, Colorado, United States","AdSwerve is based in Denver, CO and consists of a diverse team of former DoubleClick employees and technology marketers.",30683
Mickey,"E-Commerce, Marketplace","New York, New York, United States",Mickey is a B2b marketplace for lumber allowing buyers to purchase online with automatic fulfillment.,30684
FX INNOVATION,"Information Services, Information Technology","Montréal, Quebec, Canada","As one of the most innovative companies in the industry, they work with our customers to make IT valuable to business",30685
WARP,"Logistics, Supply Chain Management","Los Angeles, California, United States","Warp connects shippers, carriers, and facilities to digitize the trucking model and create the efficient routes for middle-mile freight.",30686
Akumin,"Health Care, Medical","Jenkintown, Pennsylvania, United States",Akumin owns and operates a network of outpatient diagnostic radiology.,30687
Works Applications,"Consulting, SaaS, Software","Minato, Chiba, Japan","Works Applications is into operation and management of package software business, SaaS service business, and other service business.",30688
Quantum Biosystems,"Biotechnology, Health Care, Medical Device, Quantum Computing","Menlo Park, California, United States",Application of quantum mechanics to the development of innovative single-molecule DNA sequencers,30689
Axelor,"CRM, Enterprise Resource Planning (ERP), Information Technology","Champs-sur-marne, Ile-de-France, France","axelor is an IT company that provides ERP, CRM and BPM open source solutions.",30690
Zingly,"E-Commerce, Retail, Social Media","Central, Hong Kong Island, Hong Kong",Zingly is a platform that allows brands and retailers to leverage the visual content generated by their customers shared on social media.,30691
Plena Data,"Artificial Intelligence, Data Center Automation, Information Technology, Software","Orem, Utah, United States","Plena Data offers Robotic Process Automation, a technology that uses software bots to automate processes.",30692
Cooptalis,"Professional Services, Recruiting, Staffing Agency","Lille, Nord-Pas-de-Calais, France",Cooptalis is operates as a recruiting agency. ,30693
RageOn!,"Art, E-Commerce, Retail","San Francisco, California, United States",The World's Best Custom Creation Social Marketplace,30694
Kakao Games,"Apps, Mobile Apps, Video Games","Seongnam, Kyonggi-do, South Korea","Kakao Games  is a KaKao gaming subsidiary, serving various genres of games including PC and mobile.",30695
Xero Shoes,"Fashion, Lifestyle, Retail, Sports","Broomfield, Colorado, United States","Xero Shoes manufactures comfortable shoes, boots, and sandals for the active lifestyle.",30696
Prodigo Solutions,"Health Care, Information Technology, Software","Cranberry, Pennsylvania, United States",Prodigo Solutions operates as a healthcare supply chain company.,30697
TiGenix,"Biotechnology, Clinical Trials, Health Care, Medical","Leuven, Vlaams-Brabant, Belgium",TiGenix is a biomedical company focused on research and development of innovative local treatments for damaged and osteoarthritic joints.,30698
Tomorrow.io,"Big Data, Business Information Systems, Environmental Consulting, SaaS","Boston, Massachusetts, United States",Tomorrow.io is a weather intelligence platform that provides real-time weather forecasts.,30699
Vital Therapies,"Biotechnology, Health Care, Medical","San Diego, California, United States",Vital Therapies is a biotech company focused on developing a cell-based therapy targeting the treatment of acute liver failure.,30700
Lufa Farms,"Agriculture, Green Consumer Goods, Hospitality, Impact Investing, Organic Food","Montréal, Quebec, Canada","Lufa Farms is an agricultural and technology company located in Montreal, Quebec. It is reputed to have built the world's first commercial",30701
Nylas,"Developer APIs, Email, Software","San Francisco, California, United States",Nylas is the cpaas company that empowers businesses worldwide to unlock the power of their communications data.,30702
FlexCharging,"Analytics, Automotive, Electric Vehicle, Power Grid, Renewable Energy, Software","Bellevue, Washington, United States",FlexCharging is an electric vehicle data analytics and demand flexibility provider.,30703
Guardian Analytics,"Analytics, Banking, Fraud Detection, Internet, Machine Learning, Real Time, Security","Mountain View, California, United States","Guardian Analytics provides real-time omni-channel fraud prevention solutions to protect online, mobile, wire and ACH channels.",30704
CORE POWER (UK) Ltd,"Advanced Materials, Clean Energy, Energy, Industrial Engineering, Marine Technology, Marine Transportation, Nuclear, Shipping","London, England, United Kingdom",Advanced atomic technologies can be a game changer for heavy transport and industry.,30705
Hype and Vice,"E-Commerce, Education, Fashion, Lifestyle, Retail","Los Angeles, California, United States",Hype and Vice combines on-trend fashion with University brands to create apparel women actually want to wear.,30706
Rellevate,"Consumer, Financial Services, FinTech","Stamford, Connecticut, United States",Rellevate is a fintech company that provides innovative financial and payment services.,30707
21st.BIO,"Biopharma, Biotechnology, Health Care","Virum, Hovedstaden, Denmark",21st Bio has the potential to replace and improve a wide range of meals and materials with appealing sustainable bio-based alternatives.,30708
Aier Eye Hospital Group,"Health Care, Medical","Changsha, Jiangsu, China",Aier Eye Hospital Group operates as a professional ophthalmic medical chain institution.,30709
Wholesum Brands,E-Commerce,"Seoul, Seoul-t'ukpyolsi, South Korea","We transform the entrepreneur journey by discovering, acquiring, and scaling brands that consumers love.",30710
Beleaf,"Agriculture, Farming, Hydroponics","Bogor, Jawa Barat, Indonesia","Beleaf is currently located in Bogor, Indonesia, and operates as a hydroponic farm.",30711
Casa,"Construction, FinTech, Home Improvement, Marketing, SaaS, Software","Delray Beach, Florida, United States","Casa helps contractors run more efficiently, get paid faster, and make more money per project.",30712
Reveni,E-Commerce,"Madrid, Madrid, Spain",Reveni is an instant refund platform for e-commerce that prevents fraud in returns and delivers instant refunds to customers .,30713
Vitaance,"Insurance, Life Insurance, Lifestyle, Wellness","Barcelona, Catalonia, Spain",A life insurance for companies that empowers their employees to live better and boosts their engagement with their peers,30714
Heliospectra,"Agriculture, Biotechnology, Intelligent Systems, Lighting, Manufacturing","Gothenburg, Vastra Gotaland, Sweden",Heliospectra specializes in intelligent LED lighting systems for plant science and horticulture applications.,30715
TriplePlay,"Internet, Social, Social Network","Toronto, Ontario, Canada",TriplePlay is a virtual social network where users may meet new people through engaging games.,30716
Micell Technologies,"Biotechnology, Health Care, Medical Device","Raleigh, North Carolina, United States",Micell Technologies is a biomedical device company developing interventional cardiology systems for vascular drug delivery.,30717
Sun Hydraulics,"Electronics, Manufacturing","Sarasota, Florida, United States",Sun Hydraulics is a leading designer and manufacturer of high-performance screw-in hydraulic cartridge valves and manifolds.,30718
BigPanda,"Cloud Infrastructure, Developer Platform, Enterprise Software, Information Technology, SaaS","Mountain View, California, United States","BigPanda offers a platform that helps IT Ops, NOC, and DevOps teams detect, investigate, and resolve IT incidents faster and more easily.",30719
Netspeak Games,"Apps, Gaming, iOS, Messaging, Online Games, Video Games","London, England, United Kingdom",Netspeak Games operates as a zero-crunch studio that develops online multiplayer games.,30720
TAB,"Commercial Real Estate, Financial Services, Property Development, Real Estate, Real Estate Investment","London, England, United Kingdom",TAB company provides short term bridging loans for property projects.,30721
Efficient Frontier,"Blockchain, Cryptocurrency, Financial Services, FinTech","Tel Aviv, Tel Aviv, Israel",Efficient Frontier is a leading cryptocurrency algorithmic trading company and liquidity provider trading over $1 billion a week,30722
Ourpalm,"Developer Platform, Gaming, Mobile","Beijing, Beijing, China","Beijing Zhangqu Technology Company of Limited Liability is engaged in the development, issue, and operation of moving target games.",30723
"Simply Homes, Inc.","FinTech, Marketplace, Real Estate, Real Estate Investment","Portland, Maine, United States",Simply is a data-driven real estate marketplace for homes that aren't perfect,30724
Zetta Genomics,"Biotechnology, Life Science, Medical","Cambridge, Cambridgeshire, United Kingdom",Zetta Genomics manages large-scale genomic data for precision medicine.,30725
TransVoyant,"Analytics, Big Data, Information Technology, Internet of Things, Machine Learning, National Security, Predictive Analytics, Real Time, Supply Chain Management","Alexandria, Virginia, United States",TransVoyant is an IT company streaming and analyzing IoT and big data for the supply chain and digital supply chain.,30726
11Sight,"Digital Marketing, Internet, Lead Generation, SaaS, Software, Video Chat","Berkeley, California, United States",Inbound Video Call and Customer Engagement Platform For Revenue Teams,30727
Union54,"Debit Cards, Financial Services, FinTech, Payments","Lusaka, NA - Zambia, Zambia",Union54 is a financial technology company that offers card issuing services without needing a third party processor.,30728
Journey,"Biometrics, Cyber Security, Identity Management, Telecommunications","Denver, Colorado, United States",Journey is a digital identity platform that offers privacy and security solutions for the omni-channel customer experience.,30729
Rooam,"FinTech, Hospitality, Mobile Payments, Music Venues","Los Angeles, California, United States","A contactless payment solution for the hospitality, sports, and entertainment industry",30730
CarPrice.ru,"Automotive, Big Data, Direct Sales, E-Commerce","Moscow, Moscow City, Russian Federation","CarPrice is the leading Russian online used car broker and auctioneer, being the first to develop a C2B2B business model.",30731
Steadfast Group,"Financial Services, Insurance","Sydney, New South Wales, Australia",Steadfast Group is the largest general insurance broker network and the largest group of underwriting agencies in Australasia.,30732
Kika Tech,"Android, Apps, Artificial Intelligence, iOS, Software","San Jose, California, United States",Kika revolutionizes communications with AI technology.,30733
MicroPoint Bioscience,"Biotechnology, Health Care","Beijing, Beijing, China",MicroPoint Bioscience is a Chinese company dedicated to biochip research and development.,30734
Sellics,"Advertising, Internet, Software","Palo Alto, California, United States",Sellics is a powerful All-in-One tool that combines everything sellers need to be successful on Amazon. ,30735
Radical Ventures,,"Toronto, Ontario, Canada",Radical Ventures is an early-stage venture capital firm investing in entrepreneurs applying deep technology to transform massive industries.,30736
Healee,Health Care,"Sofia, Grad Sofiya, Bulgaria","Healee is highly configurable digital health technology for telehealth, digital check-in and patient scheduling.",30737
MiSalud,"Health Care, Wellness","Palo Alto, California, United States",MiSalud offers a unique combination of personalized preventative wellness services.,30738
GoRamp,"Cloud Infrastructure, Construction, Food and Beverage, Logistics, Retail, Software, Supply Chain Management, Transportation","Vilnius, Vilniaus Apskritis, Lithuania","GoRamp is a cloud-based Transportation Management Software, which helps shippers source, plan & monitor freight logistics.",30739
clearmatics,"Blockchain, Ethereum, FinTech, Information Technology, Software Engineering","London, England, United Kingdom",Designing protocols and build platforms for decentralised Financial Market Infrastructure (dFMI).,30740
Martie,"Delivery, Food and Beverage, Grocery, Retail","Burlingame, California, United States",Martie diverts perfectly good surplus pantry staples from going to landfills and delivers them directly to customers.,30741
Carzam,"Automotive, E-Commerce, Retail","Peterborough, Peterborough, United Kingdom","Carzam is driving the future of finding, part exchanging, selling, financing and buying used cars online.",30742
Volato,"Air Transportation, Business Travel, Travel","Atlanta, Georgia, United States","Volato is the modern way to buy and own a private jet, focused on 1-4 passenger flights.",30743
LenderClose,"FinTech, Lending, Software","West Des Moines, Iowa, United States",LenderClose is a technology-focused lending solution equipping credit unions and banks with innovative workflows and process automation.,30744
Wenea Mobile Energy,"Electric Vehicle, Energy, Renewable Energy","Madrid, Madrid, Spain",Wenea Mobile Energy is a mobile energy operator,30745
Sewer AI,"Artificial Intelligence, Infrastructure, Machine Learning, Software","San Francisco, California, United States",SewerAI is an Artificial Intelligence software company that optimizes the inspection and analysis of sewer systems.,30746
Hasura,"Cloud Infrastructure, Developer APIs, Developer Tools, Open Source, Software","Bangalore, Karnataka, India",Hasura is a software technology company that provides developer-focused tooling products.,30747
ProntoForms,"Construction, Enterprise Applications, Field Support, Medical Device, Mobile Apps, Oil and Gas, Software","Ottawa, Ontario, Canada",The global leader in no-code app development platforms for field teams. Rapidly deploy mobile forms apps with context and intelligence.,30748
Taptica,"Advertising, Advertising Platforms, Data Integration, Machine Learning, Marketing, Mobile, Personal Branding","San Francisco, California, United States",Taptica is a performance-based online marketing network that helps businesses optimize ROI-driven marketing campaigns and raise revenue.,30749
Coconut,"Accounting, FinTech, Freelance, Software","London, England, United Kingdom","Coconut is simple tax and accounting software for sole traders, landlords & their accountants.",30750
CSI,Information Technology,"Birmingham, Birmingham, United Kingdom","CSI managed services provider focused on helping mid-market corporates design, build and manage their it infrastructure.",30751
Vitau,Health Care,"Monterrey, Nuevo Leon, Mexico",Subscription model pharmacy for patients with chronic diseases in Mexico.,30752
MoeGo,"Mobile Apps, Pet, Software","Los Angeles, California, United States","MoeGo is a pet grooming software for your schedules, messages and payments.",30753
Goxip Inc,"Apps, Beauty, E-Commerce, Fashion","Wan Chai, Hong Kong Island, Hong Kong","Goxip is ultimate destination for searching, discovering and purchasing any fashion and beauty products.",30754
VoiceOps,"Business Development, Call Center, CRM, SaaS, Sales, Sales Automation, Software","San Francisco, California, United States",VoiceOps is the first and only coaching enablement solution for call centers.,30755
Bitmark,"Blockchain, Computer, Internet of Things, Software","Taipei, T'ai-pei, Taiwan",Bitmark is an end-to-end Internet protocol that secures data provenance.,30756
Oncomfort,"Health Care, Hospital, Medical, Virtual Reality","Brussels, Brussels Hoofdstedelijk Gewest, Belgium",Oncomfort’s solution for Digital Sedation for relieving patients’ pain and anxiety using therapy sessions in virtual reality.,30757
LetyShops,"Advertising Platforms, Affiliate Marketing, Coupons, E-Commerce, Loyalty Programs, Marketing, Price Comparison, Shopping","Csomád, Pest, Hungary",Letyshops is a fast-growing international shopping platform that rewards users for online purchases.,30758
IRL,"Apps, Mobile Apps, Social, Social Media, Social Network","San Francisco, California, United States","Groups, Chats, Events",30759
Cardurion Pharmaceuticals,"Biotechnology, Pharmaceutical","Boston, Massachusetts, United States",Cardurion is a Boston-based cardiovascular biotechnology company,30760
Comestri,"E-Commerce, Information Technology, SaaS, Software","Epping, New South Wales, Australia","Comestri is a SaaS platform for eCommerce – PIM, OMS and Channel Management.",30761
Bloobloom,"E-Commerce, Eyewear, Fashion, Wholesale","London, England, United Kingdom",Bloobloom is an apparel and fashion firm that specializes in spectacles and sunglasses for men and women.,30762
CoFynd,,"Gurgaon, Haryana, India","Fynd the Right Space, Globally",30763
Ameyo,"Computer, Customer Service, Software","Gurgaon, Haryana, India",Ameyo is an all-in-one software based communication solution that manages end-to-end customer journeys,30764
Kohlberg Kravis Roberts,"Advice, Asset Management, Financial Services, Real Estate, Venture Capital","Hudson, New York, United States","Kohlberg Kravis Roberts is a global alternative asset manager focusing on private equity, fixed income, and capital markets.",30765
ChillyRoom,"Gaming, Mobile, PC Games, Software","Shenzhen, Guangdong, China",ChillyRoom is a mobile game developer company.,30766
elmo,"Automotive, CleanTech, Fleet Management, Impact Investing, Rental, Software, Subscription Service, Sustainability, Transportation","London, England, United Kingdom",elmo is a mobility-as-a-service platform providing all-inclusive electric car subscriptions.,30767
